Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
1,864e2ff8-6e65-49cb-b062-8a6281cc9bf8,6067,0.9228971962616822,99,5234,5136,0.9919137466307277,77,5270,5194
2,a5f7a4a2-6e41-4d7e-aa8c-fe617aba5247,9577,0.9167219641672196,102,6129,6028,0.9922326888117666,96,6146,6051
3,5a5df691-0f92-433b-b3c7-fcb7d3f15423,6340,0.9788308409399884,95,5243,5149,0.9874821173104434,89,5680,5592
4,7243b142-0b97-436c-9d00-936d95bac296,3772,0.9447017161536366,96,3766,3671,0.9959205874354093,90,3766,3677
5,c3520ea0-c002-4bbd-997b-49cc02a13622,7929,0.8922323303009098,86,5801,5716,0.9717729146844275,86,6391,6306
6,a0f75c67-8148-455e-bf78-ba56c65c6bd2,84136,0.9243058197033093,91,5348,5258,0.9839660892001474,91,5516,5426
7,f5b695b9-ce63-4b2e-a9e7-140a46cfb7fa,129727,0.9724727100142383,91,4304,4214,0.9849688640755851,85,4741,4657
8,1b0c73c6-116e-49df-8512-da17988030c3,3636,0.9997180716098111,85,3631,3547,0.9997184684684685,85,3636,3552
9,f37d69b0-415a-47d7-a4f4-913014c3412c,51644,0.904050405040504,88,5642,5555,0.9730657059529937,88,5916,5829
10,0dbe84d0-8dd3-4b1d-810c-25351118c15c,38271,0.9033633674943256,94,14632,14539,0.9925747679614988,88,14632,14545
11,d885a5dd-1af1-42cf-9d05-0ebfeaece715,24409,0.9264406779661017,93,5992,5900,0.9905181171689807,87,5992,5906
12,7d6e88c6-93ec-4c0e-9ac8-fd4dc5c358c0,12565,0.9047619047619048,93,2612,2520,0.9689213893967094,87,2821,2735
13,5f7c37a1-7b66-4fc4-8604-2a024c33d336,6028,0.9998316781686585,85,6025,5941,0.9998318479905834,79,6025,5947
14,139bf8cd-958b-4b0d-a59b-7dd9179456ce,1819,0.9959514170040485,88,1816,1729,0.9994236311239193,82,1816,1735
15,ced09e28-540c-4a4f-a6e2-fb7f86ae61e7,7922,0.9250382457929628,99,5981,5883,0.9869824341279799,93,6468,6376
16,ec09f39b-a774-4970-90fb-b2518a616c12,2973,0.998259658893143,96,2968,2873,0.9982662968099861,90,2973,2884
17,5c581ef8-9015-4344-8e49-667b41ffbeed,50744,0.8722257450856056,93,6400,6308,0.917960088691796,87,6400,6314
18,f9ceb58b-c905-4427-8025-b285df840042,10492,0.9306291772297764,90,4428,4339,0.9882461396635169,90,4428,4339
19,19650537-69f7-4f74-baf1-c3e3a7e73625,11232,0.9554313340383743,90,6708,6619,0.9902482269503546,90,6857,6768
20,6cf82930-e35f-4421-8b6e-cdb238f16ba9,5883,0.998791227767225,92,5882,5791,0.9987924788683802,86,5882,5797
21,021118af-7d1c-4453-8037-f0333b6db3f8,4524,0.9563259792886087,82,4523,4442,0.9961728950923008,82,4523,4442
22,5c70f857-fb62-4fde-a8bd-c5042cbe33c6,1277,0.9991503823279524,100,1276,1177,0.9991582491582491,89,1276,1188
23,03e53e5e-9f07-4ef0-9832-24a1e406de8f,22888,0.989103690685413,91,2935,2845,0.9845594913714805,85,3387,3303
24,60507f1f-ea54-49c4-8fd9-a927ecb63d46,1295,0.9991673605328892,90,1290,1201,0.9991749174917491,84,1295,1212
25,69892646-cbec-4651-9b46-2512f4b4e4ae,69290,0.9678386935510748,95,6095,6001,0.9941734642916598,89,6095,6007
