Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
1,3f3001a4-815b-402c-9cf5-1bcf1e6681d0 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2523 start_time=2025-11-19T18:52:16.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=3f3001a4-815b-402c-9cf5-1bcf1e6681d0 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,2499,0.9995845450768591,85,2491,2407,0.9995855781185247,79,2491,2413
2,d7487ac8-a2b4-4579-b8de-9ae9afab428d runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=196 start_time=2025-11-19T18:59:11.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=d7487ac8-a2b4-4579-b8de-9ae9afab428d basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,41263,0.9646302250803859,95,4448,4354,0.9801862492569844,89,5135,5047
3,56918116-263b-4544-a576-c28d9879603d runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1470 start_time=2025-11-19T19:09:26.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=56918116-263b-4544-a576-c28d9879603d basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,9065,0.9393893818619341,92,6740,6649,0.9847023153252481,86,7341,7256
4,362e1869-d8dc-4a6e-859b-257245046382 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=624 start_time=2025-11-19T19:18:04.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=362e1869-d8dc-4a6e-859b-257245046382 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,21241,0.9908115070845857,90,11734,11645,0.9968975347979205,78,12003,11926
5,7d4111da-1a08-4da6-9be3-6133646dbb5c runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2410 start_time=2025-11-19T19:28:34.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=7d4111da-1a08-4da6-9be3-6133646dbb5c basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,11889,0.9551523450872988,93,5934,5842,0.9917920656634747,87,5934,5848
6,9ce5ef4a-0240-4951-a961-201ee62ad276 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2697 start_time=2025-11-19T19:34:07.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=9ce5ef4a-0240-4951-a961-201ee62ad276 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3615,0.9977220956719818,100,3611,3512,0.9994314951677089,94,3611,3518
7,07a2f870-f2d5-4de6-9d86-eab13eb0d313 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=940 start_time=2025-11-19T19:41:07.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=07a2f870-f2d5-4de6-9d86-eab13eb0d313 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,33010,0.8978969826272478,86,3366,3281,0.9746254229096182,80,4217,4138
8,bfc2f7b3-3fef-4283-831e-e2d30f666ef9 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2547 start_time=2025-11-19T18:52:55.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=bfc2f7b3-3fef-4283-831e-e2d30f666ef9 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,1854,0.930778739184178,97,1714,1618,0.941717791411043,91,1720,1630
9,3f526d35-8ee4-4a63-b8e9-15901ceb7ef1 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2020 start_time=2025-11-19T19:00:35.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=3f526d35-8ee4-4a63-b8e9-15901ceb7ef1 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,5622,0.9551861221539574,86,5619,5534,0.996028880866426,80,5619,5540
10,4a252fe5-c1a6-4154-80a6-cf8841c11549 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=633 start_time=2025-11-19T19:11:12.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode23 barcode_alias=barcode23 parent_read_id=4a252fe5-c1a6-4154-80a6-cf8841c11549 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,1603,0.913151364764268,97,1305,1209,0.9847581179589132,91,1599,1509
